x,y
-78.44628585,38.98938685
-78.91777397,38.07568904
-78.19305215,39.12119901
-78.87650261,38.06549927
-79.06377844,38.25600116
-79.59872688,37.98521126
-78.50512828,38.60894503
-78.93682898,38.27449132
-78.69103234,38.63199363
-78.93681974,38.06305429
-78.17584417,38.8935152
-78.19043204,38.91807428
-79.07705157,38.15926662
-78.8464775,38.42582664
-78.87216531,38.44374158
-78.94929922,38.10810825
-78.54796652,38.84865419
-78.93074106,38.06635796
-78.17658823,39.15335097
-79.09143084,38.00186906
-78.13583986,39.2052388
-79.46844763,37.71007601
-79.38787249,37.69988917
-78.18131692,39.19910244
-78.94740942,38.19255588
-79.01524458,38.42396582
-79.00717797,38.20316443
-78.1981072,39.19086576
-78.20108772,39.1907978
-78.16916185,39.21290654
-78.82640559,38.37111306
-79.08743114,38.13561817
-78.37124288,39.00857204
-79.44560965,37.83630777
-79.92916101,37.78015043
-78.94502893,37.97823481
-78.08153074,39.28603271
-78.1938291,39.12583681
-78.76370672,38.74576035
-78.68155177,38.35858525
-78.88787011,38.05584084
-78.83767767,38.41930588
-78.63379504,38.64178069
-78.10206703,39.09415851
-79.34872254,37.85823521
-79.38053883,37.8803371
-78.21544251,39.08073447
-78.28607375,38.96622356
-78.72559889,38.59392715
-78.89537922,38.21252537
-78.17025568,39.15802746
-78.57362217,38.83219967
-78.40073997,38.85951435
-78.90057104,38.57999471
-78.84760028,38.43444216
-78.89476249,38.06465445
-78.85029684,38.53663217
-78.16814112,39.0168377
-78.19061567,39.14049642
-78.37204581,39.13372336
-79.17518867,37.88935504
-78.84835325,38.4297884
-78.89236655,38.05433752
-78.72914609,38.64150901
-78.57898314,38.54531428
-79.3091517,38.10790537
-78.58690801,38.82019839
-79.33856813,38.28362382
-78.8590332,38.45868653
-78.12489435,38.92061696
-78.86896731,38.41865281
-78.1612393,39.18735489
-78.68145593,38.63988704
-79.178357,37.99056887
-78.79284174,38.8067229
-78.58566762,38.59141774
-78.85215111,38.43643056
-79.02899188,38.13350171
-78.15201072,39.2128238
-78.14058476,39.18513276
-79.00008293,38.07634348
-78.94852524,38.05042972
-78.74470584,38.770615
-78.86444561,38.08003275
-79.44366194,37.78478543
-78.62887153,38.47385863
-78.84468098,38.43606857
-80.05213875,37.79758965
-78.19693157,39.1909448
-78.92191586,38.06795613
-79.06665274,38.13655856
-79.99469772,37.68842127
-78.87468964,38.42776289
-78.16876958,39.25658708
-78.95936418,38.25730438
-78.89154794,38.42220522
-78.87571657,38.46224509
-79.41834743,38.05245851
-78.85558943,38.44919015
-78.16161421,39.16928577
-77.98264614,39.02965055
-78.42646539,38.67546486
-79.06369839,38.14754954
-78.87261153,38.45024707
-78.63197271,38.46928361
-79.05577588,38.1447529
-79.57262204,37.89716833
-78.63827842,38.76357065
-78.85504561,38.42610171
-78.9317218,38.32711316
-78.19183829,39.13254592
-79.42635645,37.73549026
-77.95441262,39.18649849
-80.1052461,37.81703804
-78.65129464,38.73952401
-78.39388979,38.76415416
-79.52085463,38.46636112
-78.17609968,38.91752147
-79.41174035,37.80263717
-78.10569989,39.25057571
-79.00742924,38.16483009
-79.10782113,38.15373387
